date,funding_rate
2026-02-22 00:00:00.001000+00:00,7.3e-06
2026-02-22 08:00:00.004000+00:00,4.2e-07
2026-02-22 16:00:00+00:00,4.972e-05
2026-02-23 00:00:00.001000+00:00,6.946e-05
2026-02-23 08:00:00+00:00,-9.317e-05
2026-02-23 16:00:00+00:00,2.251e-05
2026-02-24 00:00:00.007000+00:00,5.706e-05
2026-02-24 08:00:00+00:00,-1.193e-05
2026-02-24 16:00:00.001000+00:00,-1.82e-06
2026-02-25 00:00:00.001000+00:00,2.375e-05
2026-02-25 08:00:00.007000+00:00,3.3e-07
2026-02-25 16:00:00+00:00,-9.68e-06
2026-02-26 00:00:00+00:00,-1.998e-05
2026-02-26 08:00:00.006000+00:00,-1.128e-05
2026-02-26 16:00:00.002000+00:00,4.007e-05
2026-02-27 00:00:00.007000+00:00,-9.91e-06
2026-02-27 08:00:00+00:00,-8.123e-05
2026-02-27 16:00:00.001000+00:00,-6.56e-06
2026-02-28 00:00:00+00:00,4.041e-05
2026-02-28 08:00:00+00:00,-3.727e-05
2026-02-28 16:00:00.004000+00:00,-4.305e-05
2026-03-01 00:00:00.005000+00:00,-6.88e-06
2026-03-01 08:00:00+00:00,4.563e-05
2026-03-01 16:00:00.002000+00:00,2.948e-05
2026-03-02 00:00:00.001000+00:00,-2.99e-06
2026-03-02 08:00:00.007000+00:00,-1.956e-05
2026-03-02 16:00:00+00:00,-1.083e-05
2026-03-03 00:00:00+00:00,-1.86e-06
2026-03-03 08:00:00+00:00,1.437e-05
2026-03-03 16:00:00.007000+00:00,1.481e-05
2026-03-04 00:00:00.001000+00:00,-5.39e-05
2026-03-04 08:00:00.005000+00:00,2.52e-05
2026-03-04 16:00:00+00:00,4.683e-05
2026-03-05 00:00:00+00:00,3.567e-05
2026-03-05 08:00:00+00:00,4.965e-05
2026-03-05 16:00:00.004000+00:00,1.74e-06
2026-03-06 00:00:00.001000+00:00,1.689e-05
2026-03-06 08:00:00.001000+00:00,-3.061e-05
2026-03-06 16:00:00.004000+00:00,-2.176e-05
2026-03-07 00:00:00.001000+00:00,6.19e-06
2026-03-07 08:00:00.012000+00:00,3.525e-05
2026-03-07 16:00:00.001000+00:00,-4.217e-05
2026-03-08 00:00:00.001000+00:00,-4.496e-05
2026-03-08 08:00:00+00:00,-1.115e-05
2026-03-08 16:00:00.002000+00:00,-2.868e-05
2026-03-09 00:00:00+00:00,-5.77e-05
2026-03-09 08:00:00.004000+00:00,-4.579e-05
2026-03-09 16:00:00.003000+00:00,-3.431e-05
2026-03-10 00:00:00.012000+00:00,-2.394e-05
2026-03-10 08:00:00.002000+00:00,1.23e-05
2026-03-10 16:00:00.001000+00:00,1.738e-05
2026-03-11 00:00:00+00:00,-0.00011052
