date,long_liq,short_liq,liq_imbalance,open_interest,funding_rate,long_short_ratio,volume,trade_count,target_return
2022-09-04,63.10500000000003,62.88700000000003,0.2180000000000035,122304.155,0.002119,2.9261876717707107,396796.75699919654,748960,-0.010224944437389638
2022-09-05,141.52900000000005,80.33000000000006,61.199,128408.823,0.004712,2.455425017277125,446704.9459989141,814036,-0.052165052029039316
2022-09-06,397.0619999999993,189.1090000000002,207.9529999999991,131636.351,0.003473,2.9093041438623928,945326.5950043792,1614429,0.026376765648059575
2022-09-07,198.40900000000008,206.56300000000005,-8.153999999999968,122043.846,-0.00348,3.016064257028112,595630.9969998447,1110831,0.0013948813284816453
2022-09-08,174.06199999999998,181.3680000000001,-7.306000000000125,119470.901,0.005667,1.910360884749709,537243.2219988047,1035265,0.10039623993986346
2022-09-09,146.74100000000004,365.9939999999995,-219.25299999999947,136089.85,0.01,1.7233115468409588,992346.3120053394,1838294,0.013403613252505053
2022-09-10,128.67800000000008,195.24400000000003,-66.56599999999995,137983.537,0.01,0.8106101756291871,491512.3179985042,1078389,0.008213002469084074
2022-09-11,101.39600000000004,92.10800000000005,9.287999999999997,142751.938,0.006712,0.7250301880282906,420968.168998766,923557,0.025728982590269567
2022-09-12,155.74300000000022,266.5179999999994,-110.77499999999918,145389.817,0.01,0.67000668002672,818598.1030041811,1751914,-0.10449743036114079
2022-09-13,572.408999999998,198.34900000000025,374.0599999999977,122091.023,0.01,0.6592002654720424,1218762.4670033418,2564737,0.0026306763540286937
2022-09-14,219.59200000000004,188.30299999999983,31.289000000000215,117434.292,0.001004,1.6602819898909282,661722.5090008317,1394041,-0.026289945533484627
2022-09-15,268.237,155.07300000000004,113.164,118537.692,0.000813,2.138731952291274,665841.1560012057,1424859,0.005134527817078904
2022-09-16,108.50200000000017,129.1370000000001,-20.63499999999995,122387.919,0.002919,2.7383177570093458,544603.7359992375,1050917,0.015548607050206442
2022-09-17,86.273,120.23900000000005,-33.96600000000005,124935.095,0.001467,2.3444816053511706,334674.1739993841,711002,-0.03529045844411449
2022-09-18,240.58499999999995,77.41600000000007,163.16899999999987,124799.645,0.003564,2.1928480204342273,499917.2509989884,915307,0.006204388221696888
2022-09-19,270.58300000000025,286.0559999999999,-15.472999999999672,115717.032,0.0006,2.8550501156515034,993769.0570042696,1830641,-0.034472832172509627
2022-09-20,286.4269999999998,149.7010000000001,136.7259999999997,115846.463,0.001721,1.980625931445604,794612.4820026665,1471107,-0.022158395968023825
2022-09-21,318.8689999999997,294.49799999999937,24.37100000000032,114671.94,0.002732,2.343363423604146,1168067.6400078407,2742959,0.049677183991239104
2022-09-22,198.0459999999998,421.2819999999996,-223.2359999999998,122062.653,0.007743,2.8550501156515034,852756.3160032991,1635218,-0.005774921881410933
2022-09-23,334.0409999999993,301.2279999999997,32.81299999999959,117269.845,-0.005008,1.7247956403269753,838484.7220021622,1519053,-0.019336170941038233
2022-09-24,191.12300000000005,81.30700000000006,109.816,120217.392,0.005345,2.0902348578491967,377156.5199993145,809357,-0.00599664433730851
2022-09-25,104.51400000000008,83.55400000000007,20.960000000000008,121930.756,0.002593,2.0902348578491967,410458.02499909047,829295,0.022108842641316073
2022-09-26,200.183,193.1730000000001,7.009999999999906,128317.719,0.004497,2.455425017277125,777800.4460037736,1451217,-0.007763121143595342
