date,long_liq,short_liq,liq_imbalance,open_interest,funding_rate,long_short_ratio,volume,trade_count
2025-05-16,18.677000000000017,27.685000000000016,-9.008,80262.807,0.004768,0.7618040873854828,115487.73599999452,921351
2025-05-17,33.53200000000001,9.230999999999998,24.301000000000013,78575.223,0.000597,0.6897600540723218,90329.78599998965,803143
2025-05-18,43.375000000000014,103.24800000000002,-59.873000000000005,80966.919,0.01,0.750393838613688,171477.6029999983,1319051
2025-05-19,59.23299999999994,49.569,9.663999999999938,82339.824,0.00211,0.6313213703099512,256493.0739999998,1832245
2025-05-20,38.99800000000008,76.24100000000001,-37.24299999999993,83825.059,0.001266,0.6046213093709885,226168.5769999978,1659223
2025-05-21,50.21300000000007,124.07400000000028,-73.86100000000022,86979.243,0.005119,0.5236934328813043,404753.41499999526,2717295
2025-05-22,22.018000000000026,78.68200000000012,-56.66400000000009,88028.268,0.01,0.4940983116689078,246036.6019999953,2026566
2025-05-23,105.8940000000002,53.91200000000005,51.982000000000156,84033.878,0.008614,0.46412884333821375,268635.16899999615,2138040
2025-05-24,18.647,25.12300000000003,-6.476000000000031,86274.171,0.007837,0.7117425539198904,165133.14799999297,1187995
2025-05-25,24.099999999999984,44.08600000000002,-19.986000000000036,87957.127,0.003651,0.710863986313088,159462.75699999428,1246170
2025-05-26,9.832999999999991,29.821000000000023,-19.98800000000003,90168.304,0.009782,0.7488632388947184,146986.01599999372,1187650
2025-05-27,74.39800000000002,64.75400000000008,9.643999999999949,86809.172,0.002476,0.6079755587715068,223591.64399999584,1685898
2025-05-28,41.372000000000014,15.765999999999982,25.60600000000003,87219.97,0.005368,0.6482610845557936,158370.37399999512,1220429
2025-05-29,61.56999999999997,30.65100000000001,30.91899999999996,85632.374,0.008379,1.0521239482864766,213094.0769999948,1584450
2025-05-30,139.84600000000032,32.92600000000002,106.9200000000003,82413.942,0.007392,1.1872265966754156,212937.7829999923,1671186
2025-05-31,93.86700000000016,33.822000000000024,60.04500000000014,83549.597,0.004687,1.2031284423881912,103607.83899999148,933145
2025-06-01,18.18000000000001,36.23699999999999,-18.056999999999977,82802.078,0.004117,1.190580503833516,97412.926999996,812610
2025-06-02,23.27500000000003,39.459000000000024,-16.183999999999994,81996.392,0.004467,1.1362956633198034,158239.977999993,1238415
2025-06-03,31.713000000000022,28.81299999999999,2.9000000000000306,82484.507,0.004456,1.0716801325875283,139199.6719999926,1059559
2025-06-04,29.899000000000022,21.684000000000008,8.215000000000014,80788.876,0.000962,0.9208605455243949,118487.93599999956,879310
2025-06-05,119.57100000000014,120.11700000000005,-0.545999999999907,82245.615,0.005156,1.0316944331572533,243421.29899999945,1663536
2025-06-06,18.475999999999992,62.61599999999997,-44.13999999999998,84605.478,-0.002995,1.426595486532395,173024.13399999178,1174559
2025-06-07,1.690999999999998,24.871,-23.18,83204.025,0.000294,0.7349063150589868,79833.17299999483,630771
2025-06-08,9.682999999999996,18.40799999999999,-8.724999999999994,82509.361,-0.003602,0.6820857863751051,75104.50299999502,590431
2025-06-09,11.140999999999996,111.43100000000013,-100.29000000000013,86405.898,0.003057,0.6675004168751042,192872.1710000008,1292028
2025-06-10,116.75400000000022,63.85300000000005,52.90100000000017,84491.305,0.008165,0.5151515151515151,152158.34999999282,1187178
2025-06-11,40.878000000000064,28.420000000000023,12.458000000000041,82283.89,0.005039,0.528584530724549,132330.06899999914,1123589
