date,future_ret,signal_1,signal_1_missing,signal_2,signal_2_missing,signal_3,signal_3_missing,signal_4,signal_4_missing,signal_6,signal_6_missing
2019-12-21,0.05168974098349155,-0.0054597156,0,0.0,1,0.0,1,0.18540803,0,0.0008383095264434,0
2019-12-22,-0.02457528154594313,0.024927754,0,0.0,1,0.0,1,0.0,1,8.113682270050049e-06,0
2019-12-23,-0.008380380725124259,0.0009577938,0,0.0,1,0.0,1,-0.751549,0,-0.0017343685030937,0
2019-12-24,-0.007048183721369394,-0.0024713431,0,0.0,1,0.0,1,0.0,1,-0.0059843771159648,0
2019-12-25,-0.0003650430348262068,-0.010107807,0,0.0,1,0.0,1,0.33679485,0,-0.0098014622926712,0
2019-12-26,0.007322965842821327,-0.009220495,0,0.0,1,0.0,1,0.0,1,-0.00880067050457,0
2019-12-27,0.008463432183648312,-0.00071608904,0,0.0,1,0.0,1,-0.792848,0,0.0002836287021636,0
2019-12-28,0.009854923497909951,0.002760837,0,0.0,1,0.0,1,0.0,1,0.0179520361125469,0
2019-12-29,-0.019252217036804353,0.003141604,0,0.0,1,0.0,1,0.32804877,0,0.042362954467535,0
2019-12-30,-0.007006624344465973,-0.003738747,0,0.0,1,0.0,1,0.0,1,0.0679277330636978,0
2019-12-31,0.0007810730164290458,0.0056825834,0,0.0,1,0.0,1,-0.68873525,0,0.0893307477235794,0
2020-01-01,-0.032654478290757405,-0.0032120564,0,0.0,1,0.0,1,0.0,1,0.1016125828027725,0
2020-01-02,0.054445275499554135,-0.007037493,0,0.0,1,0.0,1,0.43062282,0,0.1060496047139167,0
2020-01-03,0.0012457521892561552,0.010222415,0,0.0,1,0.0,1,0.0,1,0.0990591868758201,0
2020-01-04,0.000630939705824396,0.00027959002,0,0.0,1,0.0,1,-1.3708755,0,0.089589275419712,0
2020-01-05,0.05425513844063201,-0.0016111587,0,0.0,1,0.0,1,0.0,1,0.0874292701482772,0
2020-01-06,0.049920082495488405,0.00933007,0,0.0,1,0.0,1,0.7481158,0,0.0952575504779815,0
2020-01-07,-0.010963404572955193,0.0059150797,0,0.0,1,0.0,1,0.0,1,0.1092749089002609,0
2020-01-08,-0.02957057986737799,0.00089198863,0,0.0,1,0.0,1,-0.47025204,0,0.1226894184947013,0
2020-01-09,0.048512617424940174,-0.0013814945,0,0.0,1,0.0,1,0.0,1,0.1290667504072189,0
2020-01-10,-0.02159443309885789,0.014541023,0,0.0,1,0.0,1,0.34321678,0,0.1262546777725219,0
2020-01-11,0.02056979978827944,-0.004397616,0,0.0,1,0.0,1,0.0,1,0.1147873401641845,0
2020-01-12,-0.00911914262466118,0.0016783541,0,0.0,1,0.0,1,-0.5516995,0,0.0925149545073509,0
2020-01-13,0.08626888638454133,0.0010536117,0,0.0,1,0.0,1,0.0,1,0.0644396096467971,0
2020-01-14,0.0012939826402011967,0.025044888,0,0.0,1,0.0,1,1.1305397,0,0.0319792106747627,0
2020-01-15,-0.011494761041602186,-0.0018903394,0,0.0,1,0.0,1,0.0,1,0.0010863654315471,0
2020-01-16,0.02216396540829657,0.0037461747,0,0.0,1,0.0,1,-0.053761914,0,-0.0234878435730934,0
2020-01-17,0.00030067494794261407,0.005545699,0,0.0,1,0.0,1,0.0,1,-0.0354813560843467,0
2020-01-18,-0.024031063396426022,-0.0016442083,0,0.0,1,0.0,1,0.65565944,0,-0.0319835916161537,0
2020-01-19,-0.006820506337842036,0.0012366634,0,0.0,1,0.0,1,0.0,1,-0.0157820880413055,0
2020-01-20,0.010839644309707408,0.00067088497,0,0.0,1,0.0,1,-0.28745288,0,0.0105281919240951,0
2020-01-21,-0.006143522858781392,0.0037806844,0,0.0,1,0.0,1,0.0,1,0.0446864813566207,0
2020-01-22,-0.03200051598874043,0.003493002,0,0.0,1,0.0,1,1.0029999,0,0.0782152861356735,0
2020-01-23,0.0041025543398076625,-0.0060645943,0,0.0,1,0.0,1,0.0,1,0.1008075028657913,0
2020-01-24,-0.011662519255836057,-0.003740524,0,0.0,1,0.0,1,0.05637212,0,0.1073884516954422,0
2020-01-25,0.032901788604629445,-0.006744014,0,0.0,1,0.0,1,0.0,1,0.1003201827406883,0
2020-01-26,0.0339605339524085,0.00629958,0,0.0,1,0.0,1,0.74445397,0,0.0815856158733367,0
2020-01-27,0.05238690237629329,-0.0007275129,0,0.0,1,0.0,1,0.0,1,0.0588921345770359,0
2020-01-28,-0.007753186668529755,0.0069516837,0,0.0,1,0.0,1,0.023889378,0,0.0321038924157619,0
2020-01-29,0.022757546339150503,-0.0005417415,0,0.0,1,0.0,1,0.0,1,0.022470898926258,0
2020-01-30,-0.01685235582942035,-0.002110401,0,0.0,1,0.0,1,1.7981658,0,0.0228471308946609,0
2020-01-31,0.0033914650979538497,-0.00028817047,0,0.0,1,0.0,1,0.0,1,0.0305242016911506,0
2020-02-01,-0.005658199967819688,-0.00077695865,0,0.0,1,0.0,1,-0.2853619,0,0.0386203303933143,0
2020-02-02,-0.004208322125786812,-0.006720274,0,0.0,1,0.0,1,0.0,1,0.0570253133773803,0
2020-02-03,-0.01024726007937804,0.0017041542,0,0.0,1,0.0,1,1.9621991,0,0.068889707326889,0
2020-02-04,0.04512548629882285,-0.004386143,0,0.0,1,0.0,1,0.0,1,0.068692073225975,0
2020-02-05,0.016641628624100457,0.0050243707,0,0.0,1,0.0,1,1.0453688,0,0.0605710372328758,0
2020-02-06,0.004270364306180774,0.0012435368,0,0.0,1,0.0,1,0.0,1,0.043344147503376,0
2020-02-07,0.008286349838440676,0.0013495574,0,0.0,1,0.0,1,1.5093387,0,0.0206817984580993,0
