date,vol_regime,macro_signal,macro_regime,tradable
2021-01-29,1.0,0.1473679989576339,0,1
2021-01-30,1.0,0.1866352558135986,0,1
2021-01-31,1.0,0.2349588871002197,0,1
2021-02-01,1.0,0.2684805989265442,0,1
2021-02-02,1.0,0.2603819668292999,0,1
2021-02-03,1.0,0.2369102239608764,0,1
2021-02-04,1.0,0.2363357245922088,0,1
2021-02-05,1.0,0.2480787634849548,0,1
2021-02-06,1.0,0.2374739944934845,0,1
2021-02-07,1.0,0.1857065856456756,0,1
2021-02-08,1.0,0.1218675971031189,0,1
2021-02-09,1.0,0.0978222712874412,0,1
2021-02-10,1.0,0.1081795990467071,0,1
2021-02-11,1.0,0.1352310478687286,0,1
2021-02-12,1.0,0.1725678741931915,0,1
2021-02-13,1.0,0.208914965391159,0,1
2021-02-14,1.0,0.199053943157196,0,1
2021-02-15,1.0,0.1601792871952057,0,1
2021-02-16,1.0,0.0961339026689529,0,1
2021-02-17,1.0,0.0219270344823598,0,1
2021-02-18,1.0,-0.0563823357224464,1,0
2021-02-19,1.0,-0.1185962781310081,1,0
2021-02-20,1.0,-0.1534580290317535,1,0
2021-02-21,1.0,-0.1482766270637512,1,0
2021-02-22,1.0,-0.1026768907904625,1,0
2021-02-23,1.0,-0.0415137335658073,1,0
2021-02-24,1.0,0.0107607506215572,0,1
2021-02-25,1.0,0.0424043983221054,0,1
2021-02-26,1.0,0.0684633553028106,0,1
2021-02-27,1.0,0.0777911767363548,0,1
2021-02-28,1.0,0.0818516165018081,0,1
2021-03-01,1.0,0.0887230783700943,0,1
2021-03-02,1.0,0.1045727431774139,0,1
2021-03-03,1.0,0.1268502473831176,0,1
2021-03-04,1.0,0.1659909188747406,0,1
2021-03-05,1.0,0.2060673534870147,0,1
2021-03-06,1.0,0.219486653804779,0,1
2021-03-07,1.0,0.1793919801712036,0,1
2021-03-08,1.0,0.1168627887964248,0,1
2021-03-09,1.0,0.0736466571688652,0,1
2021-03-10,1.0,0.0567517057061195,0,1
2021-03-11,1.0,0.050445333123207,0,1
