date,future_ret,signal_1,signal_1_missing,signal_2,signal_2_missing,signal_3,signal_3_missing,signal_4,signal_4_missing,signal_6,signal_6_missing,direction
2018-01-25,-0.00771972399772,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0
2018-01-26,0.0362521417621066,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,1
2018-01-27,0.0338482290488209,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,1
2018-01-28,-0.0529421420123822,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0
2018-01-29,-0.0900799928895209,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0
2018-01-30,0.0046485913078473,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,1
2018-01-31,-0.1031181028867002,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0
2018-02-01,-0.038103879659863,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0
2018-02-02,0.036845361730998,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,1
2018-02-03,-0.1103428710559609,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0
2018-02-04,-0.1520890527697039,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0
2018-02-05,0.1026154216360544,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,1
2018-02-06,-0.0069444625947774,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0
2018-02-07,0.0243479405184894,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,1
2018-02-08,0.115608644376556,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,1
2018-02-09,-0.0172663958212421,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0
2018-02-10,-0.0550856692891241,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0
2018-02-11,0.1040590881808756,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,1
2018-02-12,-0.0407840053914411,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0
2018-02-13,0.1065691635733439,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,1
2018-02-14,0.0582117018113246,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,1
2018-02-15,0.0159888561002949,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,1
2018-02-16,0.0865720208110645,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,1
2018-02-17,-0.0594335819847728,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0
2018-02-18,0.0741152008536678,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,1
2018-02-19,0.0043028781493767,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,1
2018-02-20,-0.0681537971197188,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0
2018-02-21,-0.0600291254694564,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0
2018-02-22,0.0326163179438672,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,1
2018-02-23,-0.0430883699995262,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0
2018-02-24,-0.010780328247637,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0
2018-02-25,0.0765380604796663,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,1
2018-02-26,0.0237349864393647,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,1
2018-02-27,-0.0229235578633443,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,0
2018-02-28,0.0574468662000471,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,1
2018-03-01,0.0108974358974358,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,1
2018-03-02,0.0385433463176012,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1,1
2018-03-03,0.0044066542922138,0.026477646,0,0.0,1,0.0,1,0.0,1,0.0,1,1
2018-03-04,-0.0052974381241858,-0.00058284134,0,0.0,1,0.0,1,0.0,1,0.0,1,0
2018-03-05,-0.0643897328444211,0.0048541105,0,0.0,1,0.0,1,0.0,1,0.0,1,0
2018-03-06,-0.0752560542267609,-0.04965945,0,0.0,1,0.0,1,0.0,1,0.0,1,0
2018-03-07,-0.0644157416750756,-0.071463525,0,0.0,1,0.0,1,0.0,1,0.0,1,0
2018-03-08,-0.0048146821921472,-0.05284486,0,0.0,1,0.0,1,0.0,1,0.0,1,0
2018-03-09,-0.0495047144250569,-0.022060256,0,0.0,1,0.0,1,0.0,1,0.0,1,0
2018-03-10,0.0870388656156859,-0.05030951,0,0.0,1,0.0,1,0.0,1,0.0,1,1
2018-03-11,-0.0421909106452251,0.06038118,0,0.0,1,0.0,1,0.0,1,0.0,1,0
2018-03-12,0.002043511686127,-0.032340653,0,0.0,1,0.0,1,0.0,1,0.0,1,1
2018-03-13,-0.1071038251366119,0.009384517,0,0.0,1,0.0,1,0.0,1,0.0,1,0
2018-03-14,0.00868788249694,-0.09272328,0,0.0,1,0.0,1,0.0,1,0.0,1,1
2018-03-15,0.002307977934663,0.015118142,0,0.0,1,0.0,1,0.0,1,0.0,1,1
2018-03-16,-0.0526876513317191,-0.010398645,0,0.0,1,0.0,1,0.0,1,0.0,1,0
2018-03-17,0.0466708414272569,-0.036063924,0,0.0,1,0.0,1,0.0,1,0.0,1,1
2018-03-18,0.0500623321884399,0.025180224,0,0.0,1,0.0,1,0.0,1,0.0,1,1
2018-03-19,0.0360441860465114,0.03045823,0,0.0,1,0.0,1,0.0,1,0.0,1,1
2018-03-20,-0.0028035977634067,0.016557287,0,0.0,1,0.0,1,0.0,1,0.0,1,0
2018-03-21,-0.018244231851435,-0.006596908,0,0.0,1,0.0,1,0.0,1,0.0,1,0
2018-03-22,0.0200770385995483,-0.0036281862,0,0.0,1,0.0,1,0.0,1,0.0,1,1
2018-03-23,-0.0394660391120281,0.010592947,0,0.0,1,0.0,1,0.0,1,0.0,1,0
2018-03-24,-0.0089752259894277,-0.028434247,0,0.0,1,0.0,1,0.0,1,0.0,1,0
2018-03-25,-0.0396592740388305,0.004006654,0,0.0,1,0.0,1,0.0,1,0.0,1,0
2018-03-26,-0.0416413108554835,-0.026392933,0,0.0,1,0.0,1,0.0,1,0.0,1,0
2018-03-27,0.0197280229260177,-0.027952168,0,0.0,1,0.0,1,0.0,1,0.0,1,1
2018-03-28,-0.1080799567257494,0.011559469,0,0.0,1,0.0,1,0.0,1,0.0,1,0
2018-03-29,-0.0352475409512366,-0.07057816,0,0.0,1,0.0,1,0.0,1,0.0,1,0
2018-03-30,0.0122335067680472,-0.01680259,0,0.0,1,0.0,1,0.0,1,0.0,1,1
2018-03-31,-0.0160169615145199,0.0024552206,0,0.0,1,0.0,1,0.0,1,0.0,1,0
2018-04-01,0.035665586869827,-0.005852302,0,0.0,1,0.0,1,0.0,1,0.0,1,1
2018-04-02,0.0494912131519273,0.025609806,0,0.0,1,0.0,1,0.0,1,0.0,1,1
2018-04-03,-0.082254250723477,0.013179007,0,0.0,1,0.0,1,0.0,1,0.0,1,0
2018-04-04,-0.0037286090551934,-0.038018428,0,0.0,1,0.0,1,0.0,1,0.0,1,0
2018-04-05,-0.0250149170846404,0.013047167,0,0.0,1,0.0,1,0.0,1,0.0,1,0
